League,Season,Last Name,First Name,Age,City,Country,Team Name,Position,Player Number,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribbles Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Won,Number of Penalties Committed,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
Ligue 2,2022,Gomis,Yoni,19.0,,France,LE Havre,Defender,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Ligue 2,2022,Bentoumi,Mokrane,19.0,,France,LE Havre,Midfielder,,3.0,73.0,3.0,0.0,4.0,1.0,,0.0,,0.0,,26.0,1.0,7.0,2.0,,,18.0,8.0,4.0,2.0,,4.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Mbe Soh,Loïc Junior,23.0,Souza Gare,Cameroon,Guingamp,Defender,,14.0,1198.0,0.0,1.0,0.0,7.0,2.0,1.0,,0.0,,631.0,,36.0,25.0,7.0,12.0,91.0,60.0,,,,1.0,9.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Erowoli Orisunmihare Oluwaseun,Joshua,26.0,London,England,Bordeaux,Attacker,,38.0,2912.0,3.0,25.0,3.0,64.0,37.0,16.0,6.0,0.0,,806.0,44.0,16.0,21.0,2.0,23.0,281.0,129.0,40.0,21.0,,42.0,30.0,3.0,0.0,0.0,,,7.0,2.0,
Ligue 2,2022,Kouyaté,Boubakar,27.0,Bamako,Mali,Metz,Defender,,12.0,943.0,1.0,0.0,1.0,6.0,1.0,0.0,,0.0,,530.0,4.0,39.0,25.0,11.0,18.0,110.0,68.0,2.0,1.0,,8.0,14.0,5.0,1.0,0.0,,,0.0,0.0,
Ligue 2,2022,Eliasson Santana,Niclas,29.0,Varberg,Sweden,Nimes,Midfielder,,2.0,104.0,1.0,0.0,2.0,,,0.0,,0.0,,15.0,2.0,4.0,2.0,,2.0,11.0,8.0,3.0,2.0,,4.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Dreyer,Matthieu,35.0,Strasbourg,France,Saint Etienne,Goalkeeper,,9.0,745.0,1.0,0.0,5.0,,,0.0,,13.0,21.0,227.0,,18.0,,,,3.0,3.0,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ligue 2,2022,Deminguet,Jessy,26.0,Lisieux,France,Caen,Midfielder,,14.0,822.0,6.0,3.0,6.0,13.0,4.0,0.0,2.0,0.0,,469.0,19.0,29.0,15.0,,12.0,103.0,47.0,7.0,2.0,,26.0,18.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Boisgard,Quentin,27.0,Toulouse,France,PAU,Midfielder,,18.0,1137.0,5.0,12.0,5.0,18.0,10.0,1.0,2.0,0.0,,442.0,25.0,19.0,30.0,2.0,8.0,180.0,78.0,43.0,19.0,,20.0,20.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Musaba,Anthony Tite,24.0,Nijmegen,Netherlands,Metz,Attacker,,7.0,174.0,5.0,2.0,5.0,5.0,3.0,0.0,,0.0,,46.0,1.0,7.0,,,1.0,28.0,8.0,15.0,6.0,,1.0,4.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Ómarsson,Elías Már,29.0,Keflavik,Iceland,Nimes,Attacker,,12.0,388.0,8.0,3.0,9.0,8.0,5.0,1.0,1.0,0.0,,51.0,3.0,3.0,3.0,1.0,2.0,34.0,12.0,6.0,3.0,,4.0,5.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Salles-Lamonge,Sébastien Antoine Luc,28.0,Tarbes,France,Bastia,Midfielder,,37.0,2901.0,3.0,16.0,4.0,24.0,17.0,3.0,7.0,0.0,,1613.0,85.0,35.0,55.0,1.0,25.0,297.0,139.0,55.0,29.0,,43.0,38.0,6.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Bambock,Franck-Yves,29.0,Douala,Cameroon,Grenoble,Midfielder,,29.0,2291.0,1.0,12.0,2.0,13.0,4.0,1.0,1.0,0.0,,1197.0,13.0,34.0,33.0,4.0,19.0,255.0,152.0,21.0,14.0,,76.0,39.0,3.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Bakwa,Dilane,22.0,Créteil,France,Bordeaux,Attacker,,36.0,2652.0,4.0,25.0,4.0,42.0,21.0,5.0,7.0,0.0,,581.0,27.0,12.0,42.0,2.0,23.0,414.0,203.0,140.0,62.0,,86.0,50.0,7.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Aouchiche,Adil,22.0,Le Blanc-Mesnil,France,Saint Etienne,Midfielder,,2.0,86.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,50.0,2.0,21.0,,,,7.0,2.0,2.0,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Kitala,Yann,26.0,Paris,France,LE Havre,Attacker,,32.0,1348.0,16.0,15.0,16.0,24.0,11.0,2.0,4.0,0.0,,154.0,8.0,3.0,6.0,4.0,,179.0,52.0,15.0,5.0,,22.0,43.0,3.0,0.0,0.0,,,0.0,1.0,
Ligue 2,2022,Kitala,Yann,26.0,Paris,France,Sochaux,Attacker,,0.0,0.0,0.0,0.0,0.0,24.0,11.0,0.0,4.0,0.0,,154.0,8.0,3.0,6.0,4.0,,179.0,52.0,15.0,5.0,,22.0,43.0,0.0,0.0,0.0,,,0.0,1.0,
Ligue 2,2022,Magri,Frank Mario,25.0,Agen,France,Bastia,Attacker,,24.0,1681.0,6.0,10.0,6.0,54.0,31.0,13.0,4.0,0.0,,344.0,20.0,9.0,14.0,2.0,6.0,326.0,139.0,51.0,15.0,,49.0,56.0,7.0,1.0,1.0,,,0.0,0.0,
Ligue 2,2022,Senaya,Marvin,23.0,Saint-Louis,France,Rodez,Defender,,34.0,2794.0,2.0,17.0,2.0,22.0,10.0,3.0,3.0,0.0,,857.0,29.0,19.0,73.0,7.0,38.0,416.0,243.0,97.0,40.0,,96.0,39.0,6.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Cathline,Yoann,22.0,Champigny-sur-Marne,France,Guingamp,Attacker,,5.0,255.0,3.0,2.0,3.0,2.0,1.0,0.0,,0.0,,56.0,1.0,9.0,2.0,,,35.0,24.0,15.0,11.0,,9.0,4.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Sow,Saïdou,22.0,Conakry,Guinea,Saint Etienne,Defender,,25.0,1886.0,6.0,1.0,10.0,6.0,1.0,0.0,,0.0,,1104.0,5.0,38.0,46.0,9.0,47.0,183.0,103.0,10.0,7.0,,14.0,30.0,4.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Ba,Abdoullah,21.0,Saint-Aubin-lès-Elbeuf,France,LE Havre,Midfielder,,5.0,242.0,3.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,,101.0,3.0,15.0,1.0,,,33.0,20.0,6.0,3.0,,11.0,3.0,0.0,0.0,0.0,,,0.0,0.0,
