League,Season,Last Name,First Name,Age,Country,Team Name,Position,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved,Goals Per Appearance,Number of Substituions per Game,Avg Minutes per Appearance,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
Championship,2022,Coulson,Quinn,21,Scotland,Raith Rovers,Attacker,6,34.0,6,0,17,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.666666666666667,0.0,0.0,0.0
Championship,2022,Coulson,Quinn,21,Scotland,Alloa Athletic,Attacker,2,180.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
Championship,2022,Strachan,Matthew Angus,19,Scotland,Inverness CT,Midfielder,5,19.0,5,0,13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.8,0.0,0.0,0.0
Championship,2022,Healy,Aaron,21,Scotland,Queen's Park,Attacker,14,302.0,12,2,15,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.07142857142857142,1.0,21.571428571428573,0.04635761589403973,0.0,0.0
Championship,2022,Reading,Patrick James,25,England,Ayr Utd,Defender,36,2975.0,2,5,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.19444444444444445,82.63888888888889,0.06050420168067227,0.0,0.0
Championship,2022,Dempsey,Ben Michael,25,England,Ayr Utd,Midfielder,35,3088.0,0,4,0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.2,0.11428571428571428,88.22857142857143,0.04533678756476684,0.0,0.0
Championship,2022,Chalmers,Logan Paul,24,Scotland,Ayr Utd,Attacker,11,711.0,3,7,3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.18181818181818182,0.9090909090909091,64.63636363636364,0.015471167369901546,0.0,0.0
Championship,2022,Murdoch,Andrew,29,Scotland,Ayr Utd,Midfielder,26,2131.0,1,8,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,0.07692307692307693,0.34615384615384615,81.96153846153847,0.07320506804317221,0.0,0.0
Championship,2022,Lyon,Reece,24,Scotland,Morton,Midfielder,2,143.0,0,2,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1.0,71.5,0.013986013986013986,0.0,0.0
Championship,2022,McGinty,Sean Andrew,31,England,Ayr Utd,Defender,33,2644.0,4,0,7,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.09090909090909091,0.12121212121212122,80.12121212121212,0.03744326777609682,0.0,0.0
Championship,2022,Thomson,Jason,37,Scotland,Arbroath,Defender,4,314.0,1,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.25,78.5,0.012738853503184714,0.0,0.0
Championship,2022,Moore,Lewis,26,Scotland,Queen's Park,Midfielder,4,34.0,4,0,11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,8.5,0.0,0.0,0.0
Championship,2022,Gourlay,Kyle,26,Scotland,Cove Rangers,Goalkeeper,17,1488.0,1,0,20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.058823529411764705,87.52941176470588,0.0114247311827957,0.0,0.0
Championship,2022,McKenzie,Mark,24,Scotland,Ayr Utd,Attacker,33,1476.0,20,8,23,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.12121212121212122,0.8484848484848485,44.72727272727273,0.022357723577235773,0.0,0.0
Championship,2022,McAllister,Nicholas David,23,Scotland,Ayr Utd,Defender,25,1986.0,1,9,9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,0.04,0.4,79.44,0.0755287009063444,0.0,0.0
Championship,2022,Dowds,Anton,28,Scotland,Partick,Attacker,25,734.0,20,2,25,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.24,0.88,29.36,0.0,0.0,0.0
Championship,2022,Paterson,Brody,23,Scotland,Cove Rangers,Defender,2,180.0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
Championship,2022,Sanders,Jack,25,England,Cove Rangers,Defender,12,1080.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.08333333333333333,0.0,90.0,0.044444444444444446,0.0,0.0
Championship,2022,Smith,Paul,22,Scotland,Ayr Utd,Attacker,16,538.0,10,5,29,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.9375,33.625,0.02973977695167286,0.0,0.0
Championship,2022,Owens,Billy,21,Scotland,Partick,Midfielder,0,0.0,0,0,7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,2022,Bryden,Fraser,20,Scotland,Ayr Utd,Attacker,12,295.0,9,2,22,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,24.583333333333332,0.0,0.0,0.0
