League,Season,Last Name,FirstName,Age,City,Country,Team Name,Posistion,Player Number,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Goals Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribble Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red cards,Total YellowRed cards,Number of Penalties Won,Number of Penalties Commited,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
First League,2019,Sharkoski,Nikolche,30.0,,North Macedonia,FK Rabotnicki,Midfielder,,21.0,1729.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2019,Tomovski,Goran,26.0,,North Macedonia,Akademija Pandev,Midfielder,,18.0,1457.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Adem,Ermedin,34.0,,North Macedonia,Makedonija GjP,Midfielder,,15.0,1314.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Mishkovski,Nenad,38.0,,North Macedonia,Renova,Defender,,22.0,1980.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Jasharoski,Alen,33.0,,North Macedonia,Makedonija GjP,Attacker,,20.0,1018.0,11.0,11.0,11.0,,,3.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Mustafa,Burhan,34.0,,North Macedonia,Borec,Goalkeeper,,17.0,1530.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Jahja,Abdulhadi,25.0,,North Macedonia,Struga,Attacker,,14.0,572.0,7.0,7.0,7.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,
First League,2019,Kochoski,Valentin,27.0,,North Macedonia,Struga,Midfielder,,18.0,1402.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Iljazi,Ardit,24.0,Gostivar,North Macedonia,Shkupi 1927,Defender,,3.0,249.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Zuka,Fisnik,29.0,,North Macedonia,Renova,Midfielder,,22.0,1965.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Stojkov,Dragan,36.0,Strumica,North Macedonia,FK Rabotnicki,Midfielder,,20.0,1800.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
